"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l31_value_c32/Oxford/dinov2_vitg14","31","0.9162303664921466",""
"DINO_V2_VLAD/l32_value_c32/Oxford/dinov2_vitg14","32","0.8952879581151832",""
"DINO_V2_VLAD/l30_value_c32/Oxford/dinov2_vitg14","30","0.8952879581151832",""
"DINO_V2_VLAD/l26_value_c32/Oxford/dinov2_vitg14","26","0.8691099476439791",""
"DINO_V2_VLAD/l27_value_c32/Oxford/dinov2_vitg14","27","0.8638743455497382",""
"DINO_V2_VLAD/l33_value_c32/Oxford/dinov2_vitg14","33","0.8429319371727748",""
"DINO_V2_VLAD/l28_value_c32/Oxford/dinov2_vitg14","28","0.8324607329842932",""
"DINO_V2_VLAD/l29_value_c32/Oxford/dinov2_vitg14","29","0.8272251308900523",""
"DINO_V2_VLAD/l25_value_c32/Oxford/dinov2_vitg14","25","0.8167539267015707",""
"DINO_V2_VLAD/l35_value_c32/Oxford/dinov2_vitg14","35","0.7801047120418848",""
"DINO_V2_VLAD/l34_value_c32/Oxford/dinov2_vitg14","34","0.774869109947644",""
"DINO_V2_VLAD/l22_value_c32/Oxford/dinov2_vitg14","22","0.7643979057591623",""
"DINO_V2_VLAD/l23_value_c32/Oxford/dinov2_vitg14","23","0.7591623036649214",""
"DINO_V2_VLAD/l24_value_c32/Oxford/dinov2_vitg14","24","0.7591623036649214",""
"DINO_V2_VLAD/l39_value_c32/Oxford/dinov2_vitg14","39","0.7120418848167539",""
"DINO_V2_VLAD/l36_value_c32/Oxford/dinov2_vitg14","36","0.6910994764397905",""
"DINO_V2_VLAD/l38_value_c32/Oxford/dinov2_vitg14","38","0.6910994764397905",""
"DINO_V2_VLAD/l37_value_c32/Oxford/dinov2_vitg14","37","0.6701570680628273",""
"DINO_V2_VLAD/l21_value_c32/Oxford/dinov2_vitg14","21","0.6073298429319371",""
"DINO_V2_VLAD/l20_value_c32/Oxford/dinov2_vitg14","20","0.5130890052356021",""
"DINO_V2_VLAD/l17_value_c32/Oxford/dinov2_vitg14","17","0.3979057591623037",""
"DINO_V2_VLAD/l19_value_c32/Oxford/dinov2_vitg14","19","0.387434554973822",""
"DINO_V2_VLAD/l14_value_c32/Oxford/dinov2_vitg14","14","0.3769633507853403",""
"DINO_V2_VLAD/l18_value_c32/Oxford/dinov2_vitg14","18","0.3769633507853403",""
"DINO_V2_VLAD/l16_value_c32/Oxford/dinov2_vitg14","16","0.3717277486910995",""
"DINO_V2_VLAD/l13_value_c32/Oxford/dinov2_vitg14","13","0.36649214659685864",""
"DINO_V2_VLAD/l15_value_c32/Oxford/dinov2_vitg14","15","0.35602094240837695",""
"DINO_V2_VLAD/l12_value_c32/Oxford/dinov2_vitg14","12","0.35602094240837695",""
"DINO_V2_VLAD/l11_value_c32/Oxford/dinov2_vitg14","11","0.2356020942408377",""
"DINO_V2_VLAD/l6_value_c32/Oxford/dinov2_vitg14","6","0.23036649214659685",""
"DINO_V2_VLAD/l9_value_c32/Oxford/dinov2_vitg14","9","0.2198952879581152",""
"DINO_V2_VLAD/l10_value_c32/Oxford/dinov2_vitg14","10","0.19895287958115185",""
"DINO_V2_VLAD/l5_value_c32/Oxford/dinov2_vitg14","5","0.16753926701570682",""
"DINO_V2_VLAD/l8_value_c32/Oxford/dinov2_vitg14","8","0.14659685863874344",""
"DINO_V2_VLAD/l7_value_c32/Oxford/dinov2_vitg14","7","0.1256544502617801",""
"DINO_V2_VLAD/l2_value_c32/Oxford/dinov2_vitg14","2","0.10471204188481675",""
"DINO_V2_VLAD/l3_value_c32/Oxford/dinov2_vitg14","3","0.08900523560209424",""
"DINO_V2_VLAD/l1_value_c32/Oxford/dinov2_vitg14","1","0.08376963350785341",""
"DINO_V2_VLAD/l0_value_c32/Oxford/dinov2_vitg14","0","0.06282722513089005",""
"DINO_V2_VLAD/l4_value_c32/Oxford/dinov2_vitg14","4","0.04712041884816754",""