"Name","R@1","desc_layer"
"DINO_V2_VLAD/l31_value_c32/Oxford_25m/dinov2_vitg14","0.9476439790575916","31"
"DINO_V2_VLAD/l26_value_c32/Oxford_25m/dinov2_vitg14","0.9267015706806284","26"
"DINO_V2_VLAD/l32_value_c32/Oxford_25m/dinov2_vitg14","0.9214659685863874","32"
"DINO_V2_VLAD/l30_value_c32/Oxford_25m/dinov2_vitg14","0.9214659685863874","30"
"DINO_V2_VLAD/l27_value_c32/Oxford_25m/dinov2_vitg14","0.9057591623036648","27"
"DINO_V2_VLAD/l29_value_c32/Oxford_25m/dinov2_vitg14","0.8952879581151832","29"
"DINO_V2_VLAD/l25_value_c32/Oxford_25m/dinov2_vitg14","0.8795811518324608","25"
"DINO_V2_VLAD/l28_value_c32/Oxford_25m/dinov2_vitg14","0.8795811518324608","28"
"DINO_V2_VLAD/l33_value_c32/Oxford_25m/dinov2_vitg14","0.8743455497382199","33"
"DINO_V2_VLAD/l23_value_c32/Oxford_25m/dinov2_vitg14","0.8481675392670157","23"
"DINO_V2_VLAD/l22_value_c32/Oxford_25m/dinov2_vitg14","0.8481675392670157","22"
"DINO_V2_VLAD/l24_value_c32/Oxford_25m/dinov2_vitg14","0.8272251308900523","24"
"DINO_V2_VLAD/l34_value_c32/Oxford_25m/dinov2_vitg14","0.8272251308900523","34"
"DINO_V2_VLAD/l35_value_c32/Oxford_25m/dinov2_vitg14","0.806282722513089","35"
"DINO_V2_VLAD/l39_value_c32/Oxford_25m/dinov2_vitg14","0.743455497382199","39"
"DINO_V2_VLAD/l38_value_c32/Oxford_25m/dinov2_vitg14","0.7172774869109948","38"
"DINO_V2_VLAD/l36_value_c32/Oxford_25m/dinov2_vitg14","0.7068062827225131","36"
"DINO_V2_VLAD/l37_value_c32/Oxford_25m/dinov2_vitg14","0.7015706806282722","37"
"DINO_V2_VLAD/l21_value_c32/Oxford_25m/dinov2_vitg14","0.675392670157068","21"
"DINO_V2_VLAD/l20_value_c32/Oxford_25m/dinov2_vitg14","0.6020942408376964","20"
"DINO_V2_VLAD/l18_value_c32/Oxford_25m/dinov2_vitg14","0.4869109947643979","18"
"DINO_V2_VLAD/l19_value_c32/Oxford_25m/dinov2_vitg14","0.4869109947643979","19"
"DINO_V2_VLAD/l17_value_c32/Oxford_25m/dinov2_vitg14","0.46596858638743455","17"
"DINO_V2_VLAD/l16_value_c32/Oxford_25m/dinov2_vitg14","0.4607329842931937","16"
"DINO_V2_VLAD/l14_value_c32/Oxford_25m/dinov2_vitg14","0.45549738219895286","14"
"DINO_V2_VLAD/l13_value_c32/Oxford_25m/dinov2_vitg14","0.4293193717277487","13"
"DINO_V2_VLAD/l12_value_c32/Oxford_25m/dinov2_vitg14","0.4293193717277487","12"
"DINO_V2_VLAD/l15_value_c32/Oxford_25m/dinov2_vitg14","0.418848167539267","15"
"DINO_V2_VLAD/l11_value_c32/Oxford_25m/dinov2_vitg14","0.31413612565445026","11"
"DINO_V2_VLAD/l6_value_c32/Oxford_25m/dinov2_vitg14","0.3089005235602094","6"
"DINO_V2_VLAD/l9_value_c32/Oxford_25m/dinov2_vitg14","0.2879581151832461","9"
"DINO_V2_VLAD/l5_value_c32/Oxford_25m/dinov2_vitg14","0.2513089005235602","5"
"DINO_V2_VLAD/l10_value_c32/Oxford_25m/dinov2_vitg14","0.24607329842931935","10"
"DINO_V2_VLAD/l8_value_c32/Oxford_25m/dinov2_vitg14","0.2198952879581152","8"
"DINO_V2_VLAD/l7_value_c32/Oxford_25m/dinov2_vitg14","0.2094240837696335","7"
"DINO_V2_VLAD/l2_value_c32/Oxford_25m/dinov2_vitg14","0.14659685863874344","2"
"DINO_V2_VLAD/l3_value_c32/Oxford_25m/dinov2_vitg14","0.13089005235602094","3"
"DINO_V2_VLAD/l1_value_c32/Oxford_25m/dinov2_vitg14","0.12041884816753928","1"
"DINO_V2_VLAD/l0_value_c32/Oxford_25m/dinov2_vitg14","0.07853403141361257","0"
"DINO_V2_VLAD/l4_value_c32/Oxford_25m/dinov2_vitg14","0.05759162303664921","4"